date,sales
2023-11-15,1883
2023-11-16,1797
2023-11-17,1790
2023-11-18,2184
2023-11-19,2283
2023-11-20,1724
2023-11-21,1830
2023-11-22,1652
2023-11-23,1965
2023-11-24,1884
2023-11-25,2019
2023-11-26,2135
2023-11-27,1799
2023-11-28,1831
2023-11-29,1772
2023-11-30,1782
2023-12-01,1653
2023-12-02,1963
2023-12-03,2127
2023-12-04,1894
2023-12-05,1979
2023-12-06,1820
2023-12-07,2067
2023-12-08,1904
2023-12-09,2231
2023-12-10,2079
2023-12-11,2029
2023-12-12,2115
2023-12-13,1841
2023-12-14,1857
2023-12-15,1991
2023-12-16,2029
2023-12-17,2217
2023-12-18,2039
2023-12-19,1881
2023-12-20,2133
2023-12-21,1857
2023-12-22,2086
2023-12-23,2442
2023-12-24,2219
2023-12-25,2186
2023-12-26,2035
2023-12-27,2322
2023-12-28,2139
2023-12-29,2239
2023-12-30,2373
2023-12-31,2478
2024-01-01,2156
2024-01-02,2008
2024-01-03,2330
2024-01-04,2129
2024-01-05,2050
2024-01-06,2390
2024-01-07,2607
2024-01-08,2164
2024-01-09,2221
2024-01-10,2186
2024-01-11,2100
2024-01-12,2100
2024-01-13,2422
2024-01-14,2548
2024-01-15,2364
2024-01-16,2114
2024-01-17,2114
2024-01-18,2298
2024-01-19,2193
2024-01-20,2422
2024-01-21,2567
2024-01-22,2158
2024-01-23,2284
2024-01-24,2201
2024-01-25,2192
2024-01-26,2326
2024-01-27,2635
2024-01-28,2515
2024-01-29,2018
2024-01-30,2214
2024-01-31,2090
2024-02-01,2038
2024-02-02,2173
2024-02-03,2196
2024-02-04,2474
2024-02-05,2310
2024-02-06,2250
2024-02-07,2091
2024-02-08,2197
2024-02-09,2090
2024-02-10,2514
2024-02-11,2602
2024-02-12,2098
2024-02-13,2178
2024-02-14,2217
2024-02-15,2154
2024-02-16,2169
2024-02-17,2525
2024-02-18,2536
2024-02-19,2105
2024-02-20,2233
2024-02-21,2094
2024-02-22,2304
2024-02-23,2079
2024-02-24,2448
2024-02-25,2433
2024-02-26,2061
2024-02-27,2094
2024-02-28,2166
2024-02-29,2027
2024-03-01,2038
2024-03-02,2281
2024-03-03,2394
2024-03-04,2190
2024-03-05,2107
2024-03-06,2009
2024-03-07,2179
2024-03-08,2116
2024-03-09,2378
2024-03-10,2299
2024-03-11,2059
2024-03-12,1949
2024-03-13,2066
2024-03-14,2208
2024-03-15,2043
2024-03-16,2398
2024-03-17,2334
2024-03-18,1947
2024-03-19,2029
2024-03-20,1987
2024-03-21,2127
2024-03-22,2008
2024-03-23,2331
2024-03-24,1988
2024-03-25,2010
2024-03-26,1985
2024-03-27,1777
2024-03-28,2075
2024-03-29,1837
2024-03-30,2160
2024-03-31,2168
2024-04-01,1972
2024-04-02,1771
2024-04-03,1900
2024-04-04,1963
2024-04-05,1901
2024-04-06,2216
2024-04-07,2263
2024-04-08,1814
2024-04-09,1822
2024-04-10,1995
2024-04-11,1835
2024-04-12,1804
2024-04-13,2059
2024-04-14,1995
2024-04-15,1807
2024-04-16,1845
2024-04-17,1880
2024-04-18,1916
2024-04-19,1810
2024-04-20,2165
2024-04-21,2015
2024-04-22,1725
2024-04-23,1678
2024-04-24,1665
2024-04-25,1763
2024-04-26,1829
2024-04-27,2116
2024-04-28,1955
2024-04-29,1701
2024-04-30,1627
2024-05-01,1689
2024-05-02,1924
2024-05-03,1874
2024-05-04,1973
2024-05-05,2118
2024-05-06,1622
2024-05-07,1789
2024-05-08,1623
2024-05-09,1861
2024-05-10,1810
2024-05-11,2105
2024-05-12,2099
2024-05-13,1719
2024-05-14,1659
2024-05-15,1535
2024-05-16,1546
2024-05-17,1824
2024-05-18,2133
2024-05-19,1854
2024-05-20,1773
2024-05-21,1591
2024-05-22,1809
2024-05-23,1680
2024-05-24,1624
2024-05-25,1906
2024-05-26,1882
2024-05-27,1801
2024-05-28,1435
2024-05-29,1637
2024-05-30,1620
2024-05-31,1931
2024-06-01,2074
2024-06-02,1971
2024-06-03,1856
2024-06-04,1829
2024-06-05,1608
2024-06-06,1697
2024-06-07,1613
2024-06-08,1969
2024-06-09,1949
2024-06-10,1653
2024-06-11,1658
2024-06-12,1515
2024-06-13,1566
2024-06-14,1576
2024-06-15,2066
2024-06-16,1836
2024-06-17,1678
2024-06-18,1710
2024-06-19,1522
2024-06-20,1650
2024-06-21,1576
2024-06-22,1884
2024-06-23,2052
2024-06-24,1461
2024-06-25,1725
2024-06-26,1564
2024-06-27,1713
2024-06-28,1774
2024-06-29,1943
2024-06-30,1997
2024-07-01,1616
2024-07-02,1610
2024-07-03,1749
2024-07-04,1604
2024-07-05,1505
2024-07-06,2196
2024-07-07,2088
2024-07-08,1723
2024-07-09,1626
2024-07-10,1603
2024-07-11,1665
2024-07-12,1671
2024-07-13,1844
2024-07-14,1832
2024-07-15,1606
2024-07-16,1756
2024-07-17,1746
2024-07-18,1514
2024-07-19,1554
2024-07-20,1985
2024-07-21,1793
2024-07-22,1717
2024-07-23,1481
2024-07-24,1575
2024-07-25,1620
2024-07-26,1789
2024-07-27,1962
2024-07-28,1972
2024-07-29,1690
2024-07-30,1426
2024-07-31,1531
2024-08-01,1724
2024-08-02,1457
2024-08-03,1951
2024-08-04,1896
2024-08-05,1641
2024-08-06,1620
2024-08-07,1642
2024-08-08,1789
2024-08-09,1735
2024-08-10,1835
2024-08-11,2089
2024-08-12,1799
2024-08-13,1656
2024-08-14,1673
2024-08-15,1692
2024-08-16,1614
2024-08-17,2079
2024-08-18,2037
2024-08-19,1585
2024-08-20,1617
2024-08-21,1608
2024-08-22,1708
2024-08-23,1718
2024-08-24,1772
2024-08-25,1864
2024-08-26,1747
2024-08-27,1789
2024-08-28,1816
2024-08-29,1613
2024-08-30,1532
2024-08-31,2109
2024-09-01,2166
2024-09-02,1753
2024-09-03,1672
2024-09-04,1936
2024-09-05,1559
2024-09-06,1644
2024-09-07,1871
2024-09-08,2000
2024-09-09,1647
2024-09-10,1774
2024-09-11,1732
2024-09-12,1682
2024-09-13,1728
2024-09-14,2040
2024-09-15,2138
2024-09-16,1792
2024-09-17,1697
2024-09-18,1635
2024-09-19,1680
2024-09-20,1919
2024-09-21,2040
2024-09-22,1937
2024-09-23,1808
2024-09-24,1803
2024-09-25,1752
2024-09-26,1679
2024-09-27,1731
2024-09-28,2010
2024-09-29,2073
2024-09-30,1651
2024-10-01,1907
2024-10-02,1850
2024-10-03,1787
2024-10-04,1580
2024-10-05,2076
2024-10-06,2077
2024-10-07,1669
2024-10-08,1852
2024-10-09,1805
2024-10-10,1846
2024-10-11,1688
2024-10-12,2219
2024-10-13,2282
2024-10-14,1906
2024-10-15,1819
2024-10-16,1798
2024-10-17,1750
2024-10-18,1949
2024-10-19,2289
2024-10-20,2255
2024-10-21,1978
2024-10-22,1849
2024-10-23,1789
2024-10-24,1797
2024-10-25,1931
2024-10-26,2143
2024-10-27,2127
2024-10-28,1901
2024-10-29,1963
2024-10-30,1843
2024-10-31,2029
2024-11-01,1963
2024-11-02,2240
2024-11-03,2413
2024-11-04,1908
2024-11-05,1956
2024-11-06,1822
2024-11-07,2100
2024-11-08,2001
2024-11-09,2116
2024-11-10,2266
2024-11-11,1919
2024-11-12,1916
2024-11-13,2111
2024-11-14,2015
2024-11-15,1922
2024-11-16,2345
2024-11-17,2395
2024-11-18,2144
2024-11-19,2045
2024-11-20,2036
2024-11-21,2179
2024-11-22,2132
2024-11-23,2446
2024-11-24,2353
2024-11-25,2235
2024-11-26,2178
2024-11-27,2210
2024-11-28,2080
2024-11-29,2230
2024-11-30,2561
2024-12-01,2541
2024-12-02,2169
2024-12-03,2177
2024-12-04,2081
2024-12-05,2208
2024-12-06,2498
2024-12-07,2446
2024-12-08,2404
2024-12-09,2233
2024-12-10,2183
2024-12-11,2135
2024-12-12,2173
2024-12-13,2419
2024-12-14,2566
2024-12-15,2563
2024-12-16,2318
2024-12-17,2394
2024-12-18,2364
2024-12-19,2051
2024-12-20,2439
2024-12-21,2480
2024-12-22,2559
2024-12-23,2394
2024-12-24,2177
2024-12-25,2485
2024-12-26,2336
2024-12-27,2473
2024-12-28,2550
2024-12-29,2770
2024-12-30,2317
2024-12-31,2369
2025-01-01,2338
2025-01-02,2320
2025-01-03,2475
2025-01-04,2713
2025-01-05,2644
2025-01-06,2440
2025-01-07,2458
2025-01-08,2500
2025-01-09,2504
2025-01-10,2281
2025-01-11,2685
2025-01-12,2681
2025-01-13,2447
2025-01-14,2318
2025-01-15,2442
2025-01-16,2481
2025-01-17,2520
2025-01-18,2593
2025-01-19,2762
2025-01-20,2473
2025-01-21,2410
2025-01-22,2512
2025-01-23,2485
2025-01-24,2444
2025-01-25,2842
2025-01-26,2753
2025-01-27,2445
2025-01-28,2272
2025-01-29,2280
2025-01-30,2407
2025-01-31,2541
2025-02-01,2879
2025-02-02,2845
2025-02-03,2505
2025-02-04,2474
2025-02-05,2529
2025-02-06,2581
2025-02-07,2369
2025-02-08,2679
2025-02-09,2515
2025-02-10,2399
2025-02-11,2254
2025-02-12,2391
2025-02-13,2547
2025-02-14,2439
2025-02-15,2662
2025-02-16,2894
2025-02-17,2214
2025-02-18,2597
2025-02-19,2383
2025-02-20,2685
2025-02-21,2533
2025-02-22,2608
2025-02-23,2646
2025-02-24,2429
2025-02-25,2410
2025-02-26,2420
2025-02-27,2470
2025-02-28,2461
2025-03-01,2723
2025-03-02,2783
2025-03-03,2397
2025-03-04,2396
2025-03-05,2289
2025-03-06,2467
2025-03-07,2322
2025-03-08,2762
2025-03-09,2676
2025-03-10,2421
2025-03-11,2252
2025-03-12,2301
2025-03-13,2462
2025-03-14,2167
2025-03-15,2745
2025-03-16,2769
2025-03-17,2204
2025-03-18,2400
2025-03-19,2314
2025-03-20,2198
2025-03-21,2177
2025-03-22,2672
2025-03-23,2621
2025-03-24,2419
2025-03-25,2441
2025-03-26,2132
2025-03-27,2289
2025-03-28,2023
2025-03-29,2464
2025-03-30,2623
2025-03-31,2045
2025-04-01,2148
2025-04-02,2235
2025-04-03,2237
2025-04-04,2322
2025-04-05,2618
2025-04-06,2391
2025-04-07,2191
2025-04-08,2070
2025-04-09,2126
2025-04-10,2217
2025-04-11,2074
2025-04-12,2405
2025-04-13,2269
2025-04-14,2200
2025-04-15,1991
2025-04-16,2128
2025-04-17,2107
2025-04-18,2046
2025-04-19,2497
2025-04-20,2391
2025-04-21,1932
2025-04-22,1853
2025-04-23,2060
2025-04-24,2140
2025-04-25,1936
2025-04-26,2379
2025-04-27,2307
2025-04-28,1865
2025-04-29,1957
2025-04-30,1792
2025-05-01,1991
2025-05-02,1908
2025-05-03,2386
2025-05-04,2039
2025-05-05,2074
2025-05-06,1903
2025-05-07,2168
2025-05-08,2034
2025-05-09,2017
2025-05-10,2276
2025-05-11,2110
2025-05-12,1938
2025-05-13,1918
2025-05-14,1935
2025-05-15,2021
2025-05-16,2108
2025-05-17,2036
2025-05-18,2290
2025-05-19,1950
2025-05-20,1749
2025-05-21,1994
2025-05-22,1915
2025-05-23,1934
2025-05-24,2195
2025-05-25,2269
2025-05-26,1860
2025-05-27,2149
2025-05-28,1992
2025-05-29,1985
2025-05-30,2040
2025-05-31,2233
2025-06-01,2182
2025-06-02,1892
2025-06-03,2003
2025-06-04,1959
2025-06-05,1825
2025-06-06,2065
2025-06-07,2102
2025-06-08,2316
2025-06-09,1954
2025-06-10,1837
2025-06-11,1923
2025-06-12,1791
2025-06-13,1885
2025-06-14,2082
2025-06-15,2276
2025-06-16,1909
2025-06-17,1780
2025-06-18,1865
2025-06-19,1845
2025-06-20,1830
2025-06-21,2284
2025-06-22,2046
2025-06-23,1947
2025-06-24,2126
2025-06-25,1987
2025-06-26,1804
2025-06-27,1760
2025-06-28,2371
2025-06-29,2076
2025-06-30,1917
2025-07-01,1925
2025-07-02,1912
2025-07-03,2093
2025-07-04,2035
2025-07-05,2156
2025-07-06,2320
2025-07-07,1952
2025-07-08,1880
2025-07-09,2012
2025-07-10,1820
2025-07-11,1828
2025-07-12,2100
2025-07-13,2193
2025-07-14,2002
2025-07-15,1844
2025-07-16,2005
2025-07-17,1833
2025-07-18,1855
2025-07-19,2198
2025-07-20,2262
2025-07-21,1859
2025-07-22,1784
2025-07-23,1950
2025-07-24,2026
2025-07-25,1839
2025-07-26,2125
2025-07-27,2154
2025-07-28,1920
2025-07-29,2018
2025-07-30,1789
2025-07-31,1836
2025-08-01,1950
2025-08-02,2184
2025-08-03,2157
2025-08-04,2110
2025-08-05,1913
2025-08-06,1961
2025-08-07,2123
2025-08-08,1947
2025-08-09,2322
2025-08-10,2212
2025-08-11,1906
2025-08-12,2157
2025-08-13,1975
2025-08-14,1966
2025-08-15,2024
2025-08-16,2430
2025-08-17,2374
2025-08-18,1863
2025-08-19,2140
2025-08-20,1891
2025-08-21,1989
2025-08-22,1869
2025-08-23,2253
2025-08-24,2446
2025-08-25,1776
2025-08-26,1907
2025-08-27,1738
2025-08-28,2018
2025-08-29,1906
2025-08-30,2233
2025-08-31,2192
2025-09-01,1874
2025-09-02,1879
2025-09-03,2044
2025-09-04,1949
2025-09-05,2067
2025-09-06,2217
2025-09-07,2343
2025-09-08,2015
2025-09-09,1964
2025-09-10,1947
2025-09-11,1984
2025-09-12,1896
2025-09-13,2235
2025-09-14,2280
2025-09-15,2259
2025-09-16,2192
2025-09-17,1972
2025-09-18,1977
2025-09-19,1871
2025-09-20,2290
2025-09-21,2265
2025-09-22,2055
2025-09-23,1978
2025-09-24,2014
2025-09-25,2050
2025-09-26,2080
2025-09-27,2363
2025-09-28,2506
2025-09-29,1855
2025-09-30,2014
2025-10-01,1904
2025-10-02,2223
2025-10-03,1903
2025-10-04,2504
2025-10-05,2342
2025-10-06,2050
2025-10-07,2120
2025-10-08,2158
2025-10-09,2006
2025-10-10,2035
2025-10-11,2405
2025-10-12,2221
2025-10-13,2069
2025-10-14,2089
2025-10-15,2032
2025-10-16,1965
2025-10-17,2170
2025-10-18,2405
2025-10-19,2344
2025-10-20,2020
2025-10-21,2211
2025-10-22,2081
2025-10-23,2110
2025-10-24,2142
2025-10-25,2573
2025-10-26,2476
2025-10-27,2130
2025-10-28,2106
2025-10-29,2023
2025-10-30,2180
2025-10-31,2062
2025-11-01,2565
2025-11-02,2479
2025-11-03,1971
2025-11-04,2143
2025-11-05,2205
2025-11-06,2216
2025-11-07,2269
2025-11-08,2451
2025-11-09,2599
2025-11-10,2300
2025-11-11,2466
2025-11-12,2113
2025-11-13,2275
2025-11-14,2366
2025-11-15,2751
2025-11-16,2551
2025-11-17,2538
2025-11-18,2274
2025-11-19,2305
2025-11-20,2446
2025-11-21,2386
2025-11-22,2639
2025-11-23,2813
2025-11-24,2456
2025-11-25,2376
2025-11-26,2326
2025-11-27,2639
2025-11-28,2353
2025-11-29,2729
2025-11-30,2727
2025-12-01,2337
2025-12-02,2327
2025-12-03,2230
2025-12-04,2535
2025-12-05,2297
2025-12-06,2782
2025-12-07,2601
2025-12-08,2602
2025-12-09,2436
2025-12-10,2520
2025-12-11,2517
2025-12-12,2675
2025-12-13,2699
2025-12-14,2765
2025-12-15,2443
2025-12-16,2523
2025-12-17,2661
2025-12-18,2562
2025-12-19,2583
2025-12-20,2866
2025-12-21,2920
2025-12-22,2673
2025-12-23,2739
2025-12-24,2579
2025-12-25,2649
2025-12-26,2662
2025-12-27,2972
2025-12-28,2924
2025-12-29,2486
2025-12-30,2689
2025-12-31,2499
2026-01-01,2599
2026-01-02,2542
2026-01-03,2846
2026-01-04,2892
2026-01-05,2587
2026-01-06,2645
2026-01-07,2771
2026-01-08,2761
2026-01-09,2579
2026-01-10,2877
2026-01-11,3064
2026-01-12,2682
2026-01-13,2839
2026-01-14,2634
2026-01-15,2518
2026-01-16,2877
2026-01-17,3060
2026-01-18,2884
2026-01-19,2946
2026-01-20,2787
2026-01-21,2658
2026-01-22,2707
2026-01-23,2734
2026-01-24,2952
2026-01-25,2748
2026-01-26,2709
2026-01-27,2453
2026-01-28,2684
2026-01-29,2505
2026-01-30,2611
2026-01-31,2985
2026-02-01,2955
2026-02-02,2655
2026-02-03,2775
2026-02-04,2745
2026-02-05,2590
2026-02-06,2721
2026-02-07,3137
2026-02-08,2982
2026-02-09,2578
2026-02-10,2787
2026-02-11,2483
2026-02-12,2614
2026-02-13,2678
2026-02-14,3017
2026-02-15,3017
2026-02-16,2577
2026-02-17,2596
2026-02-18,2791
2026-02-19,2627
2026-02-20,2584
2026-02-21,2795
2026-02-22,2965
2026-02-23,2522
2026-02-24,2510
2026-02-25,2945
2026-02-26,2592
2026-02-27,2560
2026-02-28,2979
2026-03-01,2813
2026-03-02,2464
2026-03-03,2501
2026-03-04,2595
2026-03-05,2773
2026-03-06,2419
2026-03-07,2937
2026-03-08,3113
2026-03-09,2694
2026-03-10,2576
2026-03-11,2540
2026-03-12,2429
2026-03-13,2629
2026-03-14,3046
2026-03-15,2919
2026-03-16,2657
2026-03-17,2498
2026-03-18,2484
2026-03-19,2451
2026-03-20,2460
2026-03-21,2892
2026-03-22,2693
2026-03-23,2533
2026-03-24,2375
2026-03-25,2758
2026-03-26,2615
2026-03-27,2432
2026-03-28,2738
2026-03-29,2787
2026-03-30,2577
2026-03-31,2405
2026-04-01,2436
2026-04-02,2400
2026-04-03,2404
2026-04-04,2736
2026-04-05,2867
2026-04-06,2481
2026-04-07,2515
2026-04-08,2543
2026-04-09,2278
2026-04-10,2291
2026-04-11,2708
2026-04-12,2568
2026-04-13,2339
2026-04-14,2443
2026-04-15,2328
2026-04-16,2400
2026-04-17,2352
2026-04-18,2557
2026-04-19,2666
2026-04-20,2409
2026-04-21,2368
2026-04-22,2159
2026-04-23,2314
2026-04-24,2459
2026-04-25,2627
2026-04-26,2617
2026-04-27,2203
2026-04-28,2310
2026-04-29,2263
2026-04-30,2223
2026-05-01,2323
2026-05-02,2645
2026-05-03,2566
2026-05-04,2160
2026-05-05,2266
2026-05-06,2251
2026-05-07,2180
2026-05-08,2364
2026-05-09,2653
2026-05-10,2261
2026-05-11,2263
2026-05-12,2061
2026-05-13,2203
2026-05-14,2297
2026-05-15,2243
2026-05-16,2445
2026-05-17,2589
2026-05-18,1982
2026-05-19,2237
2026-05-20,2254
2026-05-21,2267
2026-05-22,2457
2026-05-23,2718
2026-05-24,2712
2026-05-25,2301
2026-05-26,2205
2026-05-27,2261
2026-05-28,2240
2026-05-29,2380
2026-05-30,2555
2026-05-31,2371
2026-06-01,2193
2026-06-02,2070
2026-06-03,2388
2026-06-04,2310
2026-06-05,2336
2026-06-06,2483
2026-06-07,2649
2026-06-08,2254
2026-06-09,2325
2026-06-10,2219
2026-06-11,2342
2026-06-12,2297
2026-06-13,2535
2026-06-14,2584
